,header,description,course_text,link
0,Основы программирования на Python,"About this course: Язык программирования Python является одним из самых простых в освоении и популярных языков программирования. Целью курса является изучение основных конструкций языка Python, которые пригодятся при решении широкого круга задач – от анализа данных до разработки новых программных продуктов.

В результате освоения курса слушатели научатся обрабатывать и хранить числа, тексты и их наборы, освоят стандартную библиотеку языка Python и смогут автоматизировать задачи по сбору и обработке данных. Курс дает необходимую базу для освоения более специализированных областей применения языка Python, таких как машинное обучение, статистическая обработка данных, визуализация данных и многих других. Также слушатели познакомятся с основами различных парадигм программирования: процедурным, функциональным и объектно-ориентированным программированием.

Для качественного освоения курса достаточно знания математики на уровне средней школы, опыта программирования не требуется.

В курсе предлагается большое количество задач по программированию, расположенных по нарастанию сложности, что позволяет закреплять на практике изучаемый материал. К каждому занятию прилагается полный конспект, это делает изучение курса удобнее. Курс проводился в оффлайн варианте для студентов бакалавриата факультета компьютерных наук НИУ ВШЭ. Who is this class for: Курс подойдет всем, кто успешно освоил школьный курс математики и желает научиться программировать на языке Python ""с нуля"" или переучиться с другого языка программирования, а также систематизировать свои знания. ","В этом модуле вы научитесь простейшему вводу-выводу данных и применению арифметических операций для целых чисел.  В этом модуле вы изучите логические выражения, а также научитесь использовать ветвления и циклы.  Этот модуль посвящен новому типу данных – вещественным числам, которые широко используются при решении реальных задач и имеют свои особенности.  В этом модуле вы научитесь создавать и использовать функции, которые позволяют повторно использовать код и делать его более структурированным.  Этот модуль посвящен коллекциям элементов – кортежам и спискам, а также циклу for, который позволяет перебирать элементы коллекций.  В этом модуле вы познакомитесь с применением сортировки данных, которая облегчает решение многих задач и широко используется на практике.  Модуль посвящен изучению новых структур данных – множеств и словарей, которые позволяют эффективно сопоставлять различные объекты и широко используются в самых разных задачах.  В этом модуле вы научитесь использовать стандартные функции языка Python для обработки последовательностей и узнаете о разных парадигмах программирования и их сферах применения.  Этот модуль посвящен основам объектно-ориентированного программирования – парадигмы, которая позволяет создавать и поддерживать большие проекты.  ",https://www.coursera.org/learn/python-osnovy-programmirovaniya
1,Основы поиска дела жизни. Часть 1. Как перестать откладывать дела на потом?,"About this course: Конфуций говорил «Найди себе дело по душе, и тебе не придется работать ни дня в своей жизни».

АНЕКДОТ:
— Доктор, я буду жить?
— А смысл?!

Мы искренне верим, что Вас этот анекдот не касается.

– Вы обожаете свою работу и просыпаетесь рано утром с горящими глазами? 
– Вы готовы до конца своих дней заниматься выбранным сейчас делом?
– Встретив неудачу на выбранном пути, Вы засучиваете рукава и она подстегивает Вас к более эффективной работе?
– Жизнь Ваша наполнена смыслом, и Вы несете пользу людям?

Если это не совсем так, делаете ли Вы что-то, чтобы это изменить? Или планируете еще потерпеть?
Если Вам надоело стоять на месте и хочется изменить свою жизнь к лучшему, то, возможно Вам стоит посетить психотерапевта или отправиться в Тибет. А еще можно пройти наш курс, в котором мы не обещаем волшебной таблетки, но обещаем отобранные инструменты для решения топ-3 популярных проблем, которые останавливают людей на пути самореализации. 

КАК БЫЛ ОСНОВАН ЭТОТ КУРС?
Автор курса — Павел Кочкин — за Вас отучился в Гарварде, съездил в Тибет, изучил основы мотивации и позитивной психологии на факультете МГУ и помог найти предназначение тысячам людей по всему миру. Проделав большую работу, основатели образовательного проекта «Предназначение» сильно продвинулись в методологии поиска дела жизни. 

МЕТОД ПРОСТ КАК РАЗ, ДВА, ТРИ:
1. Пройти техосмотр и отжать тормоза (фундамент для развития)
2. Выбрать, куда ехать (получить гипотезы)
3. Удержаться на пути (выбрать и воплотить в жизнь главную гипотезу)
Вы находитесь на курсе №1 серии курсов «Основы поиска дела жизни». 
Первый курс «Как перестать откладывать дела на потом?» научит Вас бороться с прокрастинацией. Мы давно работаем над процессом самоопределения и обнаружили, что есть три «тормоза», которые не позволяют нам двигаться в направлении дела нашей жизни. Мы дадим понимание этих «ям» и научим их прорабатывать. По итогам прохождения этого курса вы получите базовые основы развития.

НА СЛЕДУЮЩИХ КУРСАХ ВЫ:
– Получите хорошо выверенные гипотезы вашего будущего развития
– Будете обладать инструментами для отсеивания лишних гипотез и воплощения в жизнь главной гипотезы

Утром вас сорвет с кровати, чтобы заниматься тем, чем хотите! Интересно? Нажимайте на кнопку «Записаться на курс»! Who is this class for: ●	ДЛЯ СТУДЕНТОВ. Как сделать правильный выбор, куда пойти учиться?

●	ДЛЯ КАРЬЕРИСТОВ. Как построить свою карьерную траекторию, опираясь на свои сильные стороны?

●	ДЛЯ ПРЕДПРИНИМАТЕЛЕЙ. Как составить видение своего бизнеса и выбрать нишу? 

●	ДЛЯ РОДИТЕЛЕЙ. Как распознать таланты детей и направить их?

●	А также для тех, КТО ХОЧЕТ НАЙТИ СЕБЯ, получать большее удовольствие от жизни, видеть четкую картину своего будущего, уметь находить баланс между работой и личной жизнью, понимать свои сильные и слабые стороны. ","Начнем с рассказа о серии курсов ""Предназначение. Найди дело жизни"", о том, что Вас ждет в первом курсе ""Как перестать откладывать дела на потом"" и как его проходить. Также Вы выполните несколько заданий и ответите себе на вопрос: нужен ли Вам этот курс?  На этом этапе Вы научитесь концентрироваться на принятии решения, брать ответственность на себя, перестанете искать причины и алиби, из-за которых решение не было принято. Осознаете силу личности. Решение проблемы №1 - Инструмент №1 ""ОТВЕТСТВЕННОСТЬ НА СЕБЯ""  Здесь мы расскажем, как найти свои сильные стороны и научиться концентрироваться на них. А также как эффективно применять их на практике и чем компенсировать свои слабые стороны. Решение проблемы №2 - Инструмент №2 ""ЗЕЛЕНЫЙ МАРКЕР""  Вы узнаете, что не стоит ждать от кого-то гарантий, нужно действовать самому и учиться брать ответственность на себя. Как побороть свой страх ошибки и научиться двигаться через дискомфорт. Решение проблемы №3 - Инструмент №3 ""КУЛЬТ ОШИБКИ""  Подытожим все полученные Вами знания и навыки на этом курсе. Расскажем, что ждет Вас дальше.  ",https://www.coursera.org/learn/prednaznachenie-delo-jizni
2,Экономика для неэкономистов (Economics for non-economists),"About this course: Главная цель курса - заложить у наших слушателей основы экономической грамотности, ""экономического образа мышления"" и показать, как экономические знания могут применяться в реальной жизни.

Курс спроектирован так, чтобы быть интуитивно понятным даже слушателям, не обладающим какими-либо исходными знаниями по экономической теории, поэтому он не требует предварительной подготовки. Надеюсь, что изложение материала получилось максимально живым и неформальным.

Курс включает важнейшие и наиболее связанные с повседневной жизнью темы из двух разделов экономической теории, микроэкономики и макроэкономики. Микроэкономика изучает поведение отдельных элементов экономической системы страны - прежде всего, потребителей и производителей - то, как они делают свой выбор (что купить/произвести) и как взаимодействуют друг с другом. Ключевые категории микроэкономического анализа, с которыми мы познакомимся: спрос и предложение; производство, издержки и прибыль; рыночные структуры (такие, как совершенная конкуренция, монополия и олигополия). Макроэкономика изучает экономическую систему страны как единое целое и проблемы, общие для всей экономики. Ключевые категории макроэкономического анализа, с которыми мы познакомимся: ВВП, инфляция и безработица; экономический рост и деловой цикл; государственная макроэкономическая политика.

Для успешного завершения курса необходимо получить проходной балл по ВСЕМ оцениваемым заданиям (не менее 80% от максимального балла за задание). При этом каждое задание вы можете повторять до тех пор, пока не добьетесь успеха. Who is this class for: Курс будет доступен и понятен максимально широкому кругу слушателей - от старших школьников до пенсионеров.  ","Добро пожаловать на курс «Экономика для неэкономистов!» В этом модуле мы поговорим о том, чем занимаются современные экономисты (предметы их изучения могут быть весьма неожиданными) и как они работают. Мы познакомимся с некоторыми важнейшими экономическими терминами и простейшей экономической моделью. С использованием этой модели мы покажем, откуда берется взаимная выгода при международной торговле. Вас ждет восемь видеолекций, в некоторых из них есть контрольные вопросы (не влияют на общую оценку, но помогают понять, насколько хорошо вы освоили материал лекции). Также в Вашем распоряжении слайды к видеолекциям (некоторые из них содержат дополнительные примечания) и субтитры.В конце модуля Вас ждет контрольный тест: для успешного прохождения всего курса Вам необходимо справиться с не менее, чем 80-ю процентами его заданий. Тест можно повторять, но количество повторов ограничено (не более 3 в день), а задания теста могут меняться от повтора к повтору. Что является ""визитной карточкой"" экономической теории? Конечно, прежде всего - спрос и предложение! В этом модуле мы познакомимся с моделью спроса и предложения, покажем, каким образом устанавливается рыночное равновесие. Мы научимся применять модель спроса и предложения на примере анализа работы валютного рынка, а также обсудим, насколько оправдано государственное вмешательство в работу рынка. Вас ждет девять видеолекций и слайды к ним. В конце модуля Вас вновь ждет контрольный тест: для успешного прохождения всего курса Вам необходимо справиться с не менее, чем 80-ю процентами его заданий. В этом модуле мы продолжаем изучать тему «Спрос и предложение». Модель спроса и предложения имеет свои ограничения, и мы обсудим, когда применение этой модели не рекомендуется или рекомендуется с ограничениями. Кроме того, вы узнаете, что стоит за законом спроса, а также познакомитесь с таким новым важным понятием как ""эластичность"".  Для функции спроса знание различных эластичностей может помочь спрогнозировать, насколько сильно покупатели среагируют на изменение доходов или, скажем, на повышение цен. В этом модуле Вас ждут восемь видеолекций, слайды и традиционный контрольный тест. Есть и новинка - необязательное (на итоговую оценку это не повлияет), но интересное задание для взаимного оценивания. Мы продолжаем погружаться в мир экономики, и в этом модуле познакомимся с основными терминами, относящимися к поведению фирмы в долгосрочном и краткосрочном периоде. Фирмой экономисты называют любую коммерческую организацию, производящую продукцию с целью получения прибыли. Какие общие закономерности существуют при любом производстве? Почему экономист всегда видит у фирмы больше издержек, чем бухгалтер и какие именно виды издержек выделяют в экономическом анализе? Обо всем этом вы узнаете четвертом модуле.
Вашему вниманию будет предложено девять видеолекций, слайды и контрольный тест.
 В этом модуле вас ждет заключительный большой блок тем по микроэкономике. Вы научитесь применять маржинальный анализ, а также познакомитесь с классификацией рыночных структур. Мы ""соберем вместе"" и систематизируем как новые, так и ранее полученные знания, чтобы показать как работает сложная и саморегулируемая система - конкурентный рынок. А если конкурентов на рынке мало?  Для описания работы таких рынков (монополистических или олигополистических) также существуют экономические модели! В этом модуле видеолекций больше, чем в предыдущих - целых тринадцать. Некоторые из них помечены звездочкой - это значит, что их просмотр не обязателен, и в тесте не будет вопросов по материалам этих лекций. Однако если вы хотите иметь более целостный и системный взгляд на микроэкономику, соответствующий типичной программе обучения по этому предмету, советуем все-таки смотреть все видеофрагменты подряд. В конце модуля Вас ждет традиционный контрольный тест.  После напряженного модуля 5 Вас ждет некоторое затишье :). Начиная с этого модуля мы начнем изучать макроэкономику. Мы познакомимся с первой макроэкономической моделью (кругооборота доходов и расходов). Кроме того Вы узнаете, откуда государства берут деньги и на что их тратят? Что разные страны экспортируют, и что импортируют? Что такое ВВП, как его рассчитывать разными способами и что интересного можно увидеть, сравнивая структуру ВВП разных стран? Вашему вниманию будет предложено 9 видеолекций, после просмотра которых вы сможете приступить к новому контрольному тесту. Мы продолжаем изучать макроэкономику. Познакомимся с основными макроэкономическими показателями (такими как номинальный и реальный ВВП, процентные ставки, обменный курс, инфляция), их аналитическими возможностями и границами применимости. А также научимся самостоятельно интерпретировать их динамику. Было бы здорово, если бы Вы после лекций этого модуля попробовали самостоятельно зайти на сайт какой-нибудь статистической службы (например, Росстата, www.gks.ru) и опробовать вновь полученные знания на практике! Для того, чтобы дать Вам дополнительный стимул сделать это, в этом модуле вас ждет второе задание для взаимного оценивания, как и в прошлый раз необязательное (на итоговую оценку это не повлияет), но интересное!  Кроме него вашему вниманию будет предложено 8 видеолекций, слайды, контрольный тест. Почему одни страны развиваются быстрее, а другие медленнее? Почему в любой стране экономической развитие идет неравномерно? В этом модуле мы поговорим про экономический рост и бизнес-цикл. Мы познакомимся с разными взглядами на причины циклического развития экономики страны. А для этого научимся применять еще одну важную модель в нашем курсе - модель совокупного спроса и совокупного предложения. Как всегда, вашему вниманию будет предложено девять видеолекций, слайды и контрольный тест. В последних двух модулях мы поговорим, как государство на макроэкономическом уровне может управлять развитием экономики и какие плюсы и минусы такого вмешательства выделяют экономисты. В этом модуле мы познакомимся с первой группой инструментов государственного макроэкономического регулирования - инструментами фискальной политики. А кроме того на этой неделе мы поговорим о деньгах. Что это такое? Как и когда они появились в человеческом обществе и во что превратились к настоящему времени? Каким образом в современном мире деньги могут возникать из ниоткуда и исчезать в никуда? Всего вашему вниманию будет предложено 12 видеолекций, после просмотра которых вы сможете приступить к новому контрольному тесту. Обратите внимание, что десятая  видеолекция (чем опасны инфляция и дефляция?) отмечена звездочкой, это значит, что ее просмотр не обязателен, и в тесте не будет вопросов по материалам этой лекции. Однако мы рекомендуем с ней ознакомиться, так как материал лекции крайне актуален в нынешней мировой ситуации. Тема десятого модуля - монетарная политика и платежный баланс страны. Мы узнаем как работает монетарная политика и какие есть положительные и отрицательные стороны, связанные с ее применением. Познакомимся также с методологией составления платежного баланса страны (на настоящий момент она успела несущественно измениться - некоторые статьи ""поменяли знак"") и разберемся, как связаны его различные состояния c состояниями валютного рынка. После этого мы сравним различные режимы валютного регулирования и обсудим особенности проведения монетарной политики в открытой экономике.Всего вашему вниманию будет предложено 10 видеолекций, после просмотра которых вы сможете приступить к контрольному тесту. ",https://www.coursera.org/learn/ekonomika-dlya-neekonomistov
3,Математика для всех,"About this course: Курс состоит из нескольких жизненных сюжетов, каждый из которых разбирается ""по косточкам"" и, как выясняется, содержит внутри себя нетривиальное математическое ядро. Это ядро далее также бьётся на ""элементарные частицы"" - так, что у слушателей возникает понимание всех глубинных механизмов рассматриваемой ситуации.

Сюжеты сгруппированы по смыслу: каждая группа сюжетов вращается вокруг одной и той же основополагающей математической идеи. Таких идей всего пять: инвариант, шаг через бесконечность, непрерывность физических процессов, самоподобие природы и нашего её восприятия, и, наконец, алгебраическая природа различных чисел.

Курс предназначен для всех, кто хочет лучше представлять себе тот мир, в котором мы живём. Не имея никаких предварительных знаний, слушатели будут введены в курс дела: какая техника используется в математике (""абсолютное доказательство"" как главное отличие математического знания от любого иного) и как строить рассуждения.

Вскоре выйдет вторая часть, ""Математика для энтузиастов"", которую нужно будет уже изучать ""с листочком бумаги и ручкой в руках"". В ней встретится более нетривиальный материал, в том числе ""приводные ремни"" современной математики - ""группы"" и ""поля"". Кроме того, будут вскрыты весьма нетривиальные подоплёки многих школьных задач.

Курс состоит из 6 недель и 6 контрольных работ по окончании каждой недели. Для успешного прохождения курса необходимо успешно преодолеть все 6 испытаний. Who is this class for: Это курс для абсолютно всех. Математики, не математики и совсем не математики. Для тех, кто хочет понять, зачем их мучили математикой в школе и узнать, что математика - это не сложные и нудные вычисления, а красивые и логичные рассуждения. ","На первой неделе вы познакомитесь с понятием инварианта на примерах нескольких ярких задач. На второй неделе вы познакомитесь с некоторыми понятиями из топологии и узнаете доказательство красивой и важной теоремы Эйлера. На третьей неделе вы научитесь суммировать ряды и узнаете что бывают разные бесконечности! На четвертой неделе вы узнаете о непрерывности, разрывности, пределах и двойных пределах на примерах задач из окружающего мира. На пятой неделе вы познакомитесь с несколькими сюжетами из мира теории вероятности, комбинаторики и графов. На шестой неделе вы узнаете какие бывают разные числа и чем они замечательны. ",https://www.coursera.org/learn/matematika-dlya-vseh
4,Машинное обучение и анализ данных Specialization,"Мы покажем, как проходит полный цикл анализа, от сбора данных до выбора оптимального решения и оценки его качества. Вы научитесь пользоваться современными аналитическими инструментами и адаптировать их под особенности конкретных задач.

В рамках специализации вы освоите основные темы, необходимые в работе с большим массивом данных, в т.ч. современные методы классификации и регрессии, поиск структуры в данных, проведение экспериментов, построение выводов, базовая фундаментальная математика, основы программирования на Python.

Мы разберём, как построить рекомендательную систему, оценить эмоциональную окраску текста, спрогнозировать спрос на товар, оценить вероятность клика по рекламе и т.д.

В финале вам потребуется выполнить проект собственной системы, решающей любую актуальную для бизнеса задачу. Результатом будет наглядная работающая модель, которую вы сможете использовать в вашей повседневной работе или продемонстрировать на собеседовании.

Если возникают сложности в освоении материала, рекомендуем воспользоваться услугами тьютора.

Если вы хотите углубить знания и получить диплом одного из ведущих вузов России - МФТИ, - пройдите курс повышения квалификации.

Все, прошедшие специализацию, могут принять участие в Программе трудоустройства. Если вы заинтересованы в новых проектах, новых перспективах и возможностях - пройдите обучение по Специализации и подайте заявку. ","Математика и Python для анализа данныхUpcoming session: Aug 21 — Sep 25.SubtitlesRussianAbout the CourseАнализ данных и машинное обучение существенно опираются на результаты из математического анализа, линейной алгебры, методов оптимизации, теории вероятностей. Без фундаментальных знаний по этим наукам невозможно понимать, как устроены методы анализа данных. Задача этого курса — сформировать такой фундамент. Мы обойдёмся без сложных формул и доказательств и сделаем упор на интерпретации и понимании смысла математических понятий и объектов. 

Для успешного применения методов анализа данных нужно уметь программировать. Фактическим стандартом для этого в наши дни является язык Python. В данном курсе мы предлагаем познакомиться с его синтаксисом, а также научиться работать с его основными библиотеками, полезными для анализа данных, например, NumPy, SciPy, Matplotlib и Pandas. Обучение на размеченных данныхCurrent session: Aug 14 — Sep 25.SubtitlesRussianAbout the CourseОбучение на размеченных данных или обучение с учителем – это наиболее распространенный класс задач машинного обучения. К нему относятся те задачи, где нужно научиться предсказывать некоторую величину для любого объекта, имея конечное число примеров. Это может быть предсказание уровня пробок на участке дороги, определение возраста пользователя по его действиям в интернете, предсказание цены, по которой будет куплена подержанная машина.

В этом курсе вы научитесь формулировать и, конечно, решать такие задачи. В центре нашего внимания будут успешно применяемые на практике алгоритмы классификации и регрессии: линейные модели, нейронные сети, решающие деревья и так далее. Особый акцент мы сделаем на такой мощной технике как построение композиций, которая позволяет существенно повысить качество отдельных алгоритмов и широко используется при решении прикладных задач. В частности, мы узнаем про случайные леса и про метод градиентного бустинга.

Построение предсказывающих алгоритмов — это лишь часть работы при решении задачи анализа данных. Мы разберемся и с другими этапами: оценивание обобщающей способности алгоритмов, подбор параметров модели, выбор и подсчет метрик качества. Поиск структуры в данныхCurrent session: Aug 14 — Sep 18.Commitment4 недели обучения, через 3-5 часа / неделюSubtitlesRussianAbout the CourseВ машинном обучении встречаются задачи, где нужно изучить структуру данных, найти в них скрытые взаимосвязи и закономерности. Например, нам может понадобиться описать каждого клиента банка с помощью меньшего количества переменных — для этого можно использовать методы понижения размерности, основанные на матричных разложениях. Такие методы пытаются сформировать новые признаки на основе старых, сохранив как можно больше информации в данных. Другим примером может служить задача тематического моделирования, в которой для набора текстов нужно построить модель, объясняющую процесс формирования этих текстов из небольшого количества тем.

Такие задачи назвают обучением без учителя. В отличие от обучения с учителем, в них не предполагают восстановление зависимости между объектами и целевой переменной. 

Из этого курса вы узнаете об алгоритмах кластеризации данных, с помощью которых, например, можно искать группы схожих клиентов мобильного оператора. Вы научитесь строить матричные разложения и решать задачу тематического моделирования, понижать размерность данных, искать аномалии и визуализировать многомерные данные. Построение выводов по даннымUpcoming session: Aug 21 — Sep 25.Commitment4 недели обучения, через 2-4 часа / неделюSubtitlesRussianAbout the CourseВлияет ли знание методов анализа данных на уровень заработной платы? Работает ли система оценки кредитоспособности клиентов банка? Действительно ли новый баннер лучше старого? Чтобы ответить на такие вопросы, нужно собрать данные. Данные почти всегда содержат шум, поэтому утверждения, которые можно сделать на их основе, верны не всегда, а только с определённой вероятностью. Строить наиболее корректные выводы и численно оценивать степень уверенности в них помогают методы статистики. 

Как можно оценивать неизвестные параметры системы по небольшому количеству наблюдений? Как измерить точность таких оценок? Какие данные нужны, чтобы ответить на ваш вопрос, и на какие вопросы можно ответить с помощью уже имеющихся данных? Вы узнаете все, что нужно для успешного превращения данных в выводы — организация экспериментов, A/B-тестирование, универсальные методы оценки параметров и проверки гипотез, корреляции и причинно-следственные связи. Прикладные задачи анализа данныхCurrent session: Aug 14 — Sep 18.SubtitlesRussianAbout the CourseМетоды машинного обучения — будь то алгоритмы классификации или регрессии, методы кластеризации или алгоритмы понижения размерности — применяются к подготовленным данным с вычисленными признаками для решения уже сформулированной задачи. Однако специалисты по анализу данных редко оказываются в такой идеальной ситуации. Обычно перед ними ставят задачи, которые нуждаются в уточнении формулировки, выборе метрики качества и протокола тестирования итоговой модели. Данные, с которыми нужно работать, часто представлены в непригодном виде: они зашумлены, содержат ошибки и выбросы, хранятся в неудобном формате и т. д.

В этом курсе мы разберем прикладные задачи из различных областей анализа данных: анализ текста и информационный поиск, коллаборативная фильтрация и рекомендательные системы, бизнес-аналитика, прогнозирование временных рядов. На их примере вы узнаете, как извлекать признаки из разнородных данных, какие при этом возникают проблемы и как их решать. Вы научитесь сводить задачу заказчика к формальной постановке задачи машинного обучения и поймёте, как проверять качество построенной модели на исторических данных и в онлайн-эксперименте. На каждой задаче мы изучим плюсы и минусы пройденных алгоритмов машинного обучения.

Прослушав этот курс, вы познакомитесь с распространенными типами прикладных задач и будете понимать схемы их решения. Анализ данных: финальный проектUpcoming session: Sep 11 — Nov 6.SubtitlesRussianAbout the Capstone ProjectФинальный проект даст вам возможность применить полученные в рамках специализации знания к задаче из реального мира. Под руководством успешных специалистов в науке о данных вы сможете поработать над актуальным проектом в одной из областей: электронная коммерция, социальные медиа, информационный поиск, бизнес-аналитика и др.

В отличие от задач, основанных на модельных данных, работа над проектом из реальной жизни даст вам возможность самостоятельно пройти все этапы анализа данных — от подготовки данных до построения финальной модели и оценки её качества. В результате в вашем арсенале появится проект, который вы сможете использовать на практике и самостоятельно развивать в дальнейшем.

Наличие такого проекта станет вашим конкурентным преимуществом, ведь вы всегда сможете продемонстрировать успешный проект потенциальному работодателю. ",https://www.coursera.org/specializations/machine-learning-data-analysis
