,url,header,text
0,https://leader-id.ru/specials/national-technology-initiative/,Национальная технологическая инициатива,"





Национальная технологическая инициатива (НТИ) - программа мер по формированию принципиально новых рынков и созданию условий для глобального технологического лидерства России к 2035 году. НТИ будет включать системные решения по определению ключевых технологий, необходимых изменений в области норм и правил, работающих мер финансового и кадрового развития, механизмов вовлечения и вознаграждения носителей необходимых компетенций. Выбор будет проводиться с учетом основных трендов мирового развития исходя из приоритета сетевых технологий, сконцентрированных вокруг человека, как конечного потребителя.
Реализация НТИ - одна из ключевых задач, поставленных Президентом Российской Федерации Владимиром Путиным 4 декабря 2014 года, в Послании Федеральному собранию: «На основе долгосрочного прогнозирования необходимо понять, с какими задачами Россия столкнется через 10-15 лет, какие передовые решения потребуются для того, чтобы обеспечить национальную безопасность, качество жизни людей, развитие отраслей нового технологического уклада».
В разработке НТИ участвуют технологические предприниматели, проектные, творческие команды; динамично развивающиеся технологические компании, готовые впитывать новые разработки; ведущие университеты; исследовательские центры; крупные деловые объединения страны; институты развития, экспертные и профессиональные сообщества; заинтересованные министерства. 
Модель НТИ должна быть представлена Президенту Российской Федерации на рассмотрение в июле 2015 года.
Для участия в рабочих группах НТИ  Вам необходимо подать заявку и полностью заполнить профиль LEADER-ID.
Список рабочих групп НТИ: 

EnergyNet (распределенная энергетика от personal power до smart grid, smart city);


FoodNet (системы персонального производства и доставки еды и воды);


SafeNet (новые персональные системы безопасности);


HealthNet (персональная медицина);


AeroNet (распределенные системы беспилотных летательных аппаратов);


MariNet (распределенные системы морского транспорта без экипажа);


AutoNet (распределенная сеть управления автотранспортом без водителя);


FinNet (децентрализованные финансовые системы и валюты);


NeuroNet (распределенные искусственные компоненты сознания и психики);
Кружковое движение;
Университетские города НТИ;
Цифровое проектирование и моделирование, новые материалы, аддитивные технологии.
 

 




"
4,https://leader-id.ru/specials/investclimat/,Инвестклимат.рф,"





                    Участвуйте в мониторинге и публичном обсуждении «дорожных карт» национальной предпринимательской инициативы, чтобы внести личный вклад в улучшение условий ведения бизнеса и инвестиционного климата в нашей стране!                



"
5,https://leader-id.ru/specials/world-skills-russia/,World skills Russia,"









"
6,https://leader-id.ru/specials/educational_lectures_NTI/,Учебный курс лекций по НТИ,"





Агентством стратегических инициатив подготовлен онлайн-курс о Национальной технологической инициативе:
Национальная технологическая инициатива (НТИ) – долгосрочная комплексная программа по созданию условий для обеспечения лидерства российских компаний на новых высокотехнологичных рынках, которые будут определять структуру мировой экономики в ближайшие 15–20 лет. 
 В Послании Федеральному собранию 4 декабря 2014 г. Президент Российской Федерации В.В. Путин обозначил Национальную технологическую инициативу одним из приоритетов государственной политики:
 «На основе долгосрочного прогнозирования необходимо понять, с какими задачами столкнётся Россия через 10-15 лет, какие передовые решения потребуются для того, чтобы обеспечить национальную безопасность, высокое качество жизни людей, развитие отраслей нового технологического уклада».
 НТИ изначально строится как широкое коалиционное действие, предполагающее формирование проектных групп из:
 
§  технологических предпринимателей, крупных деловых объединений России;
§  ведущих университетов и исследовательских центров, экспертных и профессиональных сообществ;
§  институтов развития и заинтересованных органов исполнительной власти.
 
При этом НТИ формирует новые и усиливает действующие программы поддержки научно-технологического развития, обеспечивая формирование и трансляцию запросов со стороны высокотехнологичных перспективных бизнесов в систему государственного управления.
 
В рамках представленного курса лекций о Национальной технологической инициативе будут рассмотрены:

Национальная технологическая инициатива: основные понятия, принципы, ожидаемые результаты
Матрица НТИ: основные участники и логика взаимодействия между ними
Рынки НТИ
Технологии и их взаимосвязь с рынками НТИ
Таланты: кадровая политика НТИ
Сервисы НТИ

 
Курс  «Национальная технологическая инициатива» размещен на платформе онлайн-обучения UNIWEB. Все лекции курса бесплатны. Для того, чтобы получить доступ к курсу, перейдите по ссылке  и нажмите на кнопку ""Начать сейчас"". Вам будет предложено пройти небольшую регистрацию, после чего вы сразу сможете перейти к просмотру лекций. По результатам прохождения курса вы получите электронный сертификат, который придет вам на почту. 
Первые сертификаты будут готовы уже 11 мая.




"
9,https://leader-id.ru/specials/global-management-challenge/,Global Management Challenge (Глобальный управленческий вызов),"





                    Global Management Challenge (Глобальный управленческий вызов) – это «hi-tech», открытое первенство по управлению бизнесом, в основе которого лежит уникальный компьютерный тренажер, дающий возможность за несколько месяцев получить опыт управления компанией, равный нескольким годам работы на глобальном рынке.                



"
12,https://leader-id.ru/specials/national-technology-initiative/,Национальная технологическая инициатива,"





Национальная технологическая инициатива (НТИ) - программа мер по формированию принципиально новых рынков и созданию условий для глобального технологического лидерства России к 2035 году. НТИ будет включать системные решения по определению ключевых технологий, необходимых изменений в области норм и правил, работающих мер финансового и кадрового развития, механизмов вовлечения и вознаграждения носителей необходимых компетенций. Выбор будет проводиться с учетом основных трендов мирового развития исходя из приоритета сетевых технологий, сконцентрированных вокруг человека, как конечного потребителя.
Реализация НТИ - одна из ключевых задач, поставленных Президентом Российской Федерации Владимиром Путиным 4 декабря 2014 года, в Послании Федеральному собранию: «На основе долгосрочного прогнозирования необходимо понять, с какими задачами Россия столкнется через 10-15 лет, какие передовые решения потребуются для того, чтобы обеспечить национальную безопасность, качество жизни людей, развитие отраслей нового технологического уклада».
В разработке НТИ участвуют технологические предприниматели, проектные, творческие команды; динамично развивающиеся технологические компании, готовые впитывать новые разработки; ведущие университеты; исследовательские центры; крупные деловые объединения страны; институты развития, экспертные и профессиональные сообщества; заинтересованные министерства. 
Модель НТИ должна быть представлена Президенту Российской Федерации на рассмотрение в июле 2015 года.
Для участия в рабочих группах НТИ  Вам необходимо подать заявку и полностью заполнить профиль LEADER-ID.
Список рабочих групп НТИ: 

EnergyNet (распределенная энергетика от personal power до smart grid, smart city);


FoodNet (системы персонального производства и доставки еды и воды);


SafeNet (новые персональные системы безопасности);


HealthNet (персональная медицина);


AeroNet (распределенные системы беспилотных летательных аппаратов);


MariNet (распределенные системы морского транспорта без экипажа);


AutoNet (распределенная сеть управления автотранспортом без водителя);


FinNet (децентрализованные финансовые системы и валюты);


NeuroNet (распределенные искусственные компоненты сознания и психики);
Кружковое движение;
Университетские города НТИ;
Цифровое проектирование и моделирование, новые материалы, аддитивные технологии.
 

 




"
16,https://leader-id.ru/specials/investclimat/,Инвестклимат.рф,"





                    Участвуйте в мониторинге и публичном обсуждении «дорожных карт» национальной предпринимательской инициативы, чтобы внести личный вклад в улучшение условий ведения бизнеса и инвестиционного климата в нашей стране!                



"
17,https://leader-id.ru/specials/world-skills-russia/,World skills Russia,"









"
18,https://leader-id.ru/specials/educational_lectures_NTI/,Учебный курс лекций по НТИ,"





Агентством стратегических инициатив подготовлен онлайн-курс о Национальной технологической инициативе:
Национальная технологическая инициатива (НТИ) – долгосрочная комплексная программа по созданию условий для обеспечения лидерства российских компаний на новых высокотехнологичных рынках, которые будут определять структуру мировой экономики в ближайшие 15–20 лет. 
 В Послании Федеральному собранию 4 декабря 2014 г. Президент Российской Федерации В.В. Путин обозначил Национальную технологическую инициативу одним из приоритетов государственной политики:
 «На основе долгосрочного прогнозирования необходимо понять, с какими задачами столкнётся Россия через 10-15 лет, какие передовые решения потребуются для того, чтобы обеспечить национальную безопасность, высокое качество жизни людей, развитие отраслей нового технологического уклада».
 НТИ изначально строится как широкое коалиционное действие, предполагающее формирование проектных групп из:
 
§  технологических предпринимателей, крупных деловых объединений России;
§  ведущих университетов и исследовательских центров, экспертных и профессиональных сообществ;
§  институтов развития и заинтересованных органов исполнительной власти.
 
При этом НТИ формирует новые и усиливает действующие программы поддержки научно-технологического развития, обеспечивая формирование и трансляцию запросов со стороны высокотехнологичных перспективных бизнесов в систему государственного управления.
 
В рамках представленного курса лекций о Национальной технологической инициативе будут рассмотрены:

Национальная технологическая инициатива: основные понятия, принципы, ожидаемые результаты
Матрица НТИ: основные участники и логика взаимодействия между ними
Рынки НТИ
Технологии и их взаимосвязь с рынками НТИ
Таланты: кадровая политика НТИ
Сервисы НТИ

 
Курс  «Национальная технологическая инициатива» размещен на платформе онлайн-обучения UNIWEB. Все лекции курса бесплатны. Для того, чтобы получить доступ к курсу, перейдите по ссылке  и нажмите на кнопку ""Начать сейчас"". Вам будет предложено пройти небольшую регистрацию, после чего вы сразу сможете перейти к просмотру лекций. По результатам прохождения курса вы получите электронный сертификат, который придет вам на почту. 
Первые сертификаты будут готовы уже 11 мая.




"
21,https://leader-id.ru/specials/global-management-challenge/,Global Management Challenge (Глобальный управленческий вызов),"





                    Global Management Challenge (Глобальный управленческий вызов) – это «hi-tech», открытое первенство по управлению бизнесом, в основе которого лежит уникальный компьютерный тренажер, дающий возможность за несколько месяцев получить опыт управления компанией, равный нескольким годам работы на глобальном рынке.                



"
