,title,url,text
0,Линейные электрические цепи,https://openedu.ru/course/ITMOUniversity/LINCIR/,"В предлагаемом курсе изучаются статические и переходные режимы в цепях постоянного и синусоидального переменного тока, а также трёхфазные цепи и цепи несинусоидального тока. Курс содержит видеолекции, сопровождаемые опросами по текущему материалу, электронное пособие, интерактивные задания и упражнения. Материал курса рассчитан на десять недель обучения. 
	Курс теории линейных электрических цепей посвящён законам и методам анализа электромагнитных процессов, связанных с преобразованием энергии идеализированными объектами, обладающими линейной вольт-амперной характеристикой. Этот курс является основным разделом электротехники, на базе которого строятся теории нелинейных электрических цепей и электрических машин.
 
	Цель курса – получение базовых знаний в области теории линейных электрических цепей, достаточных для специалистов технических направлений подготовки неэлектротехнических профилей, а также для всех желающих познакомиться с основами электротехники и получить навыки решения задач. При изучении каждого из восьми разделов курса используются интерактивные задания, характер которых соответствует задачам повседневной инженерной практики.
 В состав курса входят видео-лекции, упражнения и интерактивные задания. Длительность курса составляет 10 недель. Трудоемкость курса – 3 зачетных единицы. Средняя недельная нагрузка на обучающегося – 10 часов. В состав курса входят видео-лекции, упражнения и интерактивные задания. Длительность курса составляет 10 недель. Трудоемкость курса – 3 зачетных единицы. Средняя недельная нагрузка на обучающегося – 10 часов. 
	1. Усольцев А.А. Линейные электрические цепи: Учебное пособие. – СПб.: НИУ ИТМО, 2013. – 151 с.
	2. Усольцев А.А. Общая электротехника: Учебное пособие. Изд. Второе, перераб и доп. – СПб.: НИУ ИТМО, 2013. – 305 с.
	3. Жаворонков М.А. Электротехника и электроника: Учебное пособие для студ. вузов. / М.А. Жаворонков, А.В. Кузин. – М.: «Академия», 2005. – 400 с.
	4. Касаткин А.С. Электротехника: учебник для вузов. / А.С. Касаткин, М.В. Немцов. – М.: «Академия», 2007. – 544 с.
 Для успешного освоения курса необходимо знание математики и физики в объёме начальных курсов вуза. Для прохождения курса дополнительного программного обеспечения не требуется. 
	В курсе рассматриваются следующие темы:
 
	1. Электрическая цепь. Элементы электрической цепи
	2. Законы Ома и Кирхгофа. Эквивалентные преобразования
	3. Синусоидальные ЭДС, токи и напряжения. Параметры электрических цепей
	4. Закон Ома. Пассивный двухполюсник
	5. Разветвленные цепи. Магнитная связь в электрических цепях
	6. Явление резонанса
	7. Трёхфазные цепи и цепи несинусоидального тока
	8. Переходные процессы
 
	Каждая тема предполагает изучение в течение одной недели. На 5-й и 10-й неделях запланированы упражнения по пройденному материалу.
 
	В курсе имеется два типа дедлайна (предельного срока выполнения оценивающих мероприятий):
– мягкий дедлайн, при котором необходимо выполнить все оценивающие мероприятия текущей недели до ее завершения;
– жесткий дедлайн, при котором на выполнение оценивающих мероприятий после мягкого дедлайна дополнительно выделяется еще две недели, по окончании которых доступ к соответствующим мероприятиям закрывается.
 
	09.03.01 Информатика и вычислительная техника
 
	09.03.02 Информационные системы и технологии
 
	09.03.03 Прикладная информатика
 
	10.03.01 Информационная безопасность
 
	11.03.02 Инфокоммуникационные технологии и системы связи
 
	11.03.03 Конструирование и технология электронных средств
 
	12.03.01 Приборостроение
 
	12.03.02 Оптотехника
 
	12.03.03 Фотоника и оптоинформатика
 
	12.03.05 Лазерная техника и лазерные технологии
 
	12.05.01 Электронные и оптико-электронные приборы и системы специального назначения
 
	14.03.01 Ядерная энергетика и теплофизика
 
	15.03.06 Мехатроника и робототехника
 
	16.03.01 Техническая физика
 
	18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии
 
	27.03.04 Управление в технических системах
 "
1,Веб-программирование,https://openedu.ru/course/ITMOUniversity/WEBDEV/,"Курс предназначен для новичков в области веб-программирования, будет полезен как для школьников старших классов и студентов технических специальностей, так и для всех людей, которые интересуются веб-технологиями или планируют начать карьеру в этой индустрии. Полученный уровень подготовки позволит вам начать карьеру HTML-верстальщика или другого интернет-специалиста. 
	Курс посвящен базовым технологиям веб-программирования – HTML и CSS и рассчитан на людей с минимальными знаниями в области веб-технологий.
 
	Цель курса – научить ""с нуля"" создавать современные веб-интерфейсы, работая с кодом вручную, на основе графических макетов, подготовленных дизайнером. Вы сможете самостоятельно создавать веб-страницы начального и среднего уровня сложности.
 
	В этом курсе помимо просмотра привычных видеолекций и презентаций вы будете практиковаться работать с кодом в интерактивных упражнениях, а закреплять навыки и доказывать, что вы действительно чему-то научились – в настоящих испытаниях. Практическая часть курса построена как игра: постепенно усложняющиеся задания, встречающиеся по ходу курса головоломки, мини-игры и сопровождающий вас Инструктор Кекс, не дадут соскучиться. А в конце курса вас ждёт итоговое испытание, в котором нужно будет сверстать страницу целиком.
 
	Полученный уровень подготовки позволит вам начать карьеру HTML-верстальщика или другого интернет-специалиста (прототипировщика, интернет-маркетолога, контент-менеджера, сео-специалиста) и применять полученные знания при решении широкого спектра задач, с которыми сталкивается большинство программистов.
 В состав курса входят видео-лекции, интерактивные пошаговые демонстрации, практические упражнения и испытания. Длительность курса составляет 10 недель. Трудоемкость курса – 4 зачетных единицы. Средняя недельная нагрузка на обучающегося – 14 часов. В состав курса входят видео-лекции, интерактивные пошаговые демонстрации, практические упражнения и испытания. Длительность курса составляет 10 недель. Трудоемкость курса – 4 зачетных единицы. Средняя недельная нагрузка на обучающегося – 14 часов. 
	1. Консорциум Всемирной паутины 
	2. Для тех, кто делает сайты
	3. HTML | Mozilla Developer Network 
	4. CSS | Mozilla Developer Network 
 
	Для успешного освоения курса необходимы базовые навыки работы с компьютером и сетью Интернет. На компьютере должен быть установлен текстовый редактор с подсветкой синтаксиса языков HTML и CSS, а также свободно-распространяемый графический редактор GIMP (GNU Image Manipulation Program), который можно бесплатно скачать по адресу: http://www.gimp.org/
 
	В курсе рассматриваются следующие темы:
 
	1. Введение в веб-технологии
	2. Знакомство с HTML
	3. Знакомство с CSS
	4. Разметка
	5. Графический редактор для веб-разработчика
	6. Сетки
	7. Позиционирование
	8. Декоративные элементы
	9. Стилизация элементов содержания
	10. Публикация проекта
 
	Каждая тема предполагает изучение в течение одной недели.
 В курсе имеется два типа дедлайна (предельного срока выполнения оценивающих мероприятий):
– мягкий дедлайн, при котором необходимо выполнить все оценивающие мероприятия текущей недели до ее завершения;
– жесткий дедлайн, при котором на выполнение оценивающих мероприятий после мягкого дедлайна дополнительно выделяется еще две недели, по окончании которых доступ к соответствующим мероприятиям закрывается.
 
	09.03.01 Информатика и вычислительная техника
 
	09.03.02 Информационные системы и технологии
 
	09.03.03 Прикладная информатика
 
	09.03.04 Программная инженерия
 "
2,Управление мехатронными и робототехническими системами,https://openedu.ru/course/ITMOUniversity/ROBCTR/,"Длительное время люди изобретают механизмы, которые облегчают жизнь. Их уже несчетное множество, но, безусловно, самым высоким достижением техники являются всевозможные роботы. Робототехника вобрала в себя знания из прикладных и теоретических областей и позволила исследовать космос и добраться до Марса. Курс посвящен моделированию робототехнических систем и созданию алгоритмов управления. Целью данного курса является применение теоретических знаний из области физики и математики для решения практической задачи управления на примере маятниковой системы. Курс основан на использовании широко распространенного робототехнического набора и открытых программных средств. Прикладное использование математики позволяет решать сложные задачи. В результате прохождения курса обучающийся получит комплекс знаний по реализации и настройке системы управления на основе математической модели мехатронной системы. В состав курса входят видео-лекции и упражнения. Длительность курса составляет 10 недель. Трудоемкость курса – 3 зачетных единицы. Средняя недельная нагрузка на обучающегося – 10 часов. В состав курса входят видео-лекции и упражнения. Длительность курса составляет 10 недель. Трудоемкость курса – 3 зачетных единицы. Средняя недельная нагрузка на обучающегося – 10 часов. 
	Минимальный уровень подготовки включает в себя программу по высшей математике, физике и информатике. Для успешного освоения курса желательно знать основы теоретической механики, математического анализа, электротехники, теории автоматического управления.
 
	На компьютере должно быть установлено следующее бесплатное программное обеспечение:
 
	В курсе рассматриваются следующие темы:
 
	1. Математические основы теории систем
	2. Открытый пакет для математических вычислений Scilab
	3. Программирование контроллера Lego Mindstorms
	4. Математическая модель двигателя постоянного тока
	5. Расширенная модель двигателя постоянного тока
	6. Пропорциональное регулирование
	7. Система компьютерной алгебры Maxima
	8. Маятниковые системы и их моделирование
	9. Метод модального управления
 
	Каждая тема предполагает изучение в течение одной недели. На 10-й неделе запланирован итоговый интернет-экзамен.
 
	В курсе имеется два типа дедлайна (предельного срока выполнения оценивающих мероприятий):
	– мягкий дедлайн, при котором необходимо выполнить все оценивающие мероприятия текущей недели до ее завершения;
	– жесткий дедлайн, при котором на выполнение оценивающих мероприятий после мягкого дедлайна дополнительно выделяется еще две недели, по окончании которых доступ к соответствующим мероприятиям закрывается.
 
	15.03.06 Мехатроника и робототехника
 
	27.03.04 Управление в технических системах
 "
3,Методы и алгоритмы теории графов,https://openedu.ru/course/ITMOUniversity/AGRAPH/,"Теория графов – наиболее востребованный на практике раздел дискретной математики. Данный электронный курс адресован самому широкому кругу обучающихся, в том числе и школьникам. Курс построен таким образом, чтобы обучающийся смог сформировать теоретический базис и применять ряд наиболее популярных и востребованных на практике алгоритмических методов решения задач на графах. Данный онлайн-курс посвящен изучению методов и алгоритмов теории графов и их применению на практике. Целью курса является формирование базовых знаний, умений и навыков решения наиболее важных и часто встречаемых на практике графовых задач. В составе онлайн-курса используются видео-лекции вместе с опросами по их отдельным частям, упражнения, интерактивные демонстрации и виртуальные лаборатории для формирования и контроля навыков алгоритмического решения задач на графах. По окончании курса предусмотрен интернет-экзамен. Курс является образовательным модулем дисциплины ""Дискретная математика"" в составе основных образовательных программ по подготовке бакалавров различных направлений. В результате успешного завершения данного онлайн-курса обучающийся будет способен к самостоятельному изучению других разделов теории графов. В состав курса входят видео-лекции, интерактивные демонстрации, упражнения и виртуальные лаборатории. Длительность курса составляет 10 недель. Трудоемкость курса – 3 зачетных единицы. Средняя недельная нагрузка на обучающегося – 10 часов. В состав курса входят видео-лекции, интерактивные демонстрации, упражнения и виртуальные лаборатории. Длительность курса составляет 10 недель. Трудоемкость курса – 3 зачетных единицы. Средняя недельная нагрузка на обучающегося – 10 часов. Для успешного освоения курса необходимо знание основ теории множеств и математической логики. Для прохождения курса дополнительного программного обеспечения не требуется. 
	В курсе рассматриваются следующие темы:
 
	1. Основы теории графов
	2. Связность графов
	3. Циклы в графах
	4. Деревья
	5. Оптимизация на графах
	6. Двудольные графы
	7. Изоморфизм и гомеоморфизм графов
	8. Плоские и планарные графы
 
	Тема ""Оптимизация на графах"" изучается в течение двух недель, остальные темы изучаются в течение одной недели. На 10-й неделе запланирован интернет-экзамен.
 
	В курсе имеется два типа дедлайна (предельного срока выполнения оценивающих мероприятий):
	– мягкий дедлайн, при котором необходимо выполнить все оценивающие мероприятия текущей недели до ее завершения;
	– жесткий дедлайн, при котором на выполнение оценивающих мероприятий после мягкого дедлайна дополнительно выделяется еще две недели, по окончании которых доступ к соответствующим мероприятиям закрывается.
 
	09.03.01 Информатика и вычислительная техника
 
	09.03.02 Информационные системы и технологии 
 
	09.03.03 Прикладная информатика
 
	09.03.04 Программная инженерия 
 "
4,Организационное поведение,https://openedu.ru/course/hse/ORGBH/,"Курс представляет основные подходы и результаты исследований, нацеленных на понимание поведения людей в организационной среде. Понимание и прогнозирование поведения людей – залог успеха в деятельности любого руководителя. Так называемый «человеческий фактор» все сильнее определяет конкурентные преимущества современных бизнес-организаций. В рамках этого курса мы рассмотрим основные подходы к объяснению того, почему работники организаций ведут себя тем или иным образом. Как влияют на поведение людей их личностные качества, ценности и установки? Как реагируют работники на управленческие практики, действия своих руководителей? Какие закономерности поведения человека в организации можно считать всеобщими, а в каких случаях поведение работников определяется особенностями национальной культуры и институтов? Организационное поведение – динамично развивающаяся научная дисциплина, и в рамках курса мы постараемся осветить наиболее значимые и интересные результаты современных зарубежных и российских исследований. Предлагаемый вашему вниманию курс – одна из базовых дисциплин подготовки по направлению «Менеджмент». Она является основой для целого ряда прикладных дисциплин в сфере управления человеческими ресурсами. Однако, надеемся, курс будет полезен и интересен всем, чья профессиональная деятельность предполагает работу с людьми. Каждой из 10 тем соответствует видеолекция продолжительностью 90 минут. Лекции разделены на фрагменты от 10 до 15 минут. В конце каждой темы будет публиковаться задание с тестами, которые надо будет сдать в течение 1 недели. В конце курса предполагается проведение финального экзамена, на прохождение которого отводится 1 неделя.
 Каждой из 10 тем соответствует видеолекция продолжительностью 90 минут. Лекции разделены на фрагменты от 10 до 15 минут. В конце каждой темы будет публиковаться задание с тестами, которые надо будет сдать в течение 1 недели. В конце курса предполагается проведение финального экзамена, на прохождение которого отводится 1 неделя. Специального уровня подготовки не требуется. Более эффективно освоение курса при наличии базовых знаний в области теории и истории менеджмента, общей социологии, социальной психологии. Неделя 1.  Поведение человека в организации: основные виды.
Неделя 2. Личность в организации: психологические характеристики.
Неделя 3. Личность в организации: психические состояния и процессы восприятия.
Неделя 4. Ценности и установки работников в организации.
Неделя 5. Группы в организации.
Неделя 6. Лидерство в организации.
Неделя 7. Власть и влияние в организации.
Неделя 8. Организационная культура.
Неделя 9. Практики управления человеческими ресурсами в организации и поведение сотрудников.
Неделя 10. Влияние социальной макросреды на формирование организационного поведения. После завершения этого курса слушатели: Курс вносит вклад в формирование следующих компетенций (согласно ФГОС ВПО по направлению подготовки «Менеджмент»): "
5,Экономическая социология,https://openedu.ru/course/hse/ECSOC/,"Курс посвящен экономической социологии – одной из наиболее активно развивающихся отраслей современных социальных наук, использующей концепции и инструментарий социологии для изучения хозяйственных процессов. Экономическая социология опирается на длинную и богатую интеллектуальную традицию и в то же время является молодой, становящейся. Она пережила ренессанс в 1980-е годы с появлением «новой экономической социологии», активно и плодотворно анализирующей экономические объекты – развитие современных рынков, деятельность компаний и домашних хозяйств, трудовое, финансовое и потребительское поведение людей. Экономическая социология – широкая интегративная дисциплина. В данном курсе отобраны темы и концепции, наиболее важные для понимания и содержательного использования экономико-социологического подхода. 1. Предмет экономической социологии
2. Модель человека в экономической социологии
3. История экономической социологии
4. Человек в роли предпринимателя
5. Человек на рынке труда
6. Человек в трудовых отношениях
7. Человек в домашнем хозяйстве
8. Человек в роли потребителя
9. Человек в денежном хозяйстве
10.Человек в социальной иерархии
11.Рынок как форма хозяйства
12.Государственное регулирование хозяйства
13.Неформальная экономика как форма хозяйства В результате освоения дисциплины слушатели: "
6,Общая социология,https://openedu.ru/course/hse/GSOC/,"Введение в социологию как научную дисциплину. Курс в целом носит вводный, пропедевтический характер. Его цель - познакомить студентов с основными принципами и элементарными понятиями социологии, сформировать у них представление о некоторых основных теоретических подходах к изучению общества и его подсистем, привить им навыки социологического мышления, развить способность анализировать факты и события с позиций социальной науки. Кроме того, этот курс может служить подготовительной базой для освоения других, специальных социологических дисциплин, таких как экономическая социология, социология политики, права и т.п. Среди рассматриваемых тем и категорий, такие как сущность и особенности социологического знания; взаимосвязь культуры и общества; социальные институты; социализация индивида; социальные группы и формальные организации; социальные равенства и неравенства; социальные процессы (обмен, кооперация и конкуренция, конфликт и солидарность); социальные изменения и социальные движения; массовое поведение (слухи, паника, мода и т.п.) и массовые сообщества (конгломераты, толпы, публики). Предлагаемый курс призван дать студенту хотя и не полную, но целостную картину того, что есть социальная реальность и социальная наука, которая ее изучает. Неделя 1. Тема 1. Социология как наука: Что и как изучает социология. Общая характеристика социологии, ее основные черты и особенности. Неделя 2. Тема 2. Культура и общество. Взаимосвязь социальных и культурных процессов и явлений. Неделя 3. Тема 3. Социальные институты. Сущность социальных институтов, их структура, функции, значение. Неделя 4. Тема 3.1. Семья как социальный институт. Обзор социального института семьи. Неделя 5. Тема 3.2. Экономика как социальный институт. Обзор социального института экономики. Неделя 6. Тема 3.3. Религия как социальный институт. Обзор социального института религии. Неделя 7. Тема 4. Социализация индивида. Процесс социализации, подходы к ее изучению, способы и агенты, особенности в современных обществах. Неделя 8. Тема 5. Социальные группы и организации. Природа и типы социальных групп, формальные организации, бюрократия, община. Неделя 9. Тема 6. Социальные равенства и неравенства. Социальные равенства и неравенства как реальность, ценность, идеал; социальная стратификация и типы; социальная мобильность. Неделя 10. Тема 7. Социальные процессы и социальные изменения. Обмен, кооперация, конкуренция, конфликт, солидарность как социальные процессы. Сущность и факторы социальных изменений. Неделя 11. Тема 8. Массовое поведение, массовые сообщества и социальные движения. Специфика массовых процессов (мода, паника, слухи, массовая истерия и паранойя). Массовые сообщества: конгломераты, толпы, публики. Природа и значение социальных изменений для социального развития. После завершения курса слушатели будут знакомы с основными принципами и понятиями социологии, обладать навыками социологического мышления, смогут применять их для анализа событий и фактов социальной жизни, будут подготовлены к изучению других отраслей социального знания. "
7,Теория организации,https://openedu.ru/course/hse/ORGTH/,"Узнайте об основных принципах построения организаций, рассмотренных как в теории, так и на практике. Теория организации - это одна из базовых управленческих дисциплин, находящихся на стыке социологии, экономики, психологии, социальной антропологии и других. Этот предмет изучает, как устроена организация, как она функционирует, как рождается, живет, меняется и умирает. В этом смысле теория организации является обязательной основой и ключом к понимаю всех частных управленческих наук, таких как общий менеджмент, производственный менеджмент, управление персоналом, маркетинг и так далее. С другой стороны, теория организации не является строго теоретической дисциплиной. Модели и технологии из этого курса активно используются консультантами по всему миру для проведения диагностики организаций, повышения эффективности организационных структур или управления организационными изменениями. В курсе будут активно разбираться практические примеры использования всех изучаемых моделей. Одна из главных задач этого курса – показать его участникам, как результаты фундаментальных исследований в области теории организации могут быть использованы в реальной практике управления. Видеолекции; самостоятельная работа с источниками; тесты
 Видеолекции; самостоятельная работа с источниками; тесты Курс подходит для широкого числа слушателей без специальной подготовки 1.Понятие и сущность организации.
2. Классические виды организационных структур.
3. Современные типы организационных структур.
4. Контекстуальный подход: стратегия и структура.
5. Контекстуальный подход: технология, размер и стадия жизненного цикла.
6. Контекстуальный подход: культура и внешняя среда.
7. Энвайронментальные концепции организации.
8. Энвайронментальные концепции: продолжение.
9. Организационное развитие.
10. Организационное развитие: продолжение. УЧЕБНЫЙ ПЛАН: Неделя 1. Понятие и сущность организации.
Место ТО в системе наук.
Понятие организации.
Эволюция теории организации.
Функции организации как социальной системы.
Естественная, искусственная системы.
Классификация типов организации (Ч. Барнард, А.И. Пригожин). Неделя 2. Классические виды организационных структур. Определение организационной структуры, формальная и неформальная структура.
Структурные характеристики организации.
Линейная структура управления.
Функциональная и линейно-функциональная структуры.
Дивизиональная структура.
Сравнение функциональной и дивизиональной структур. Неделя 3. Современные типы организационных структур.
Функциональные связи.
Проектная структура.
Матричная структура.
Современные комплексные организации.
Модели организации Г. Минцберга. Неделя 4. Контекстуальный подход: стратегия и структура.
Ситуационные модели, контекстные переменные.
Модель Чандлера.
Модель Портера.
Модель Майлза и Сноу.
Типология стратегических целей В.И. Герчикова.
Модель структурного соответствия. Неделя 5. Контекстуальный подход: технология, размер и стадия жизненного цикла.
Технология: модель Дж. Вудворд.
Технология: кастомизированное производство.
Технология сервиса.
Размер: исследование Астонской группы.
Нормативные характеристики организаций разных размеров.
Модель жизненных циклов Адизеса.
Функции менеджмента на разных стадиях жизненного цикла. Неделя 6. Контекстуальный подход: культура и внешняя среда.
Культура организации и структура.
Понятие внешней среды, микро- и макроокружение.
Проблема границ организации.
Открытая и закрытая системы.
Размерности и типы внешней среды.
Ситуационная модель Дункана. Неделя 7. Энвайронментальные концепции организации.
Модель Бернса и Сталкера (Дафт).
Неоинституциональная теория: базовый подход.
Реакции организации на институциональное давление.
Институциональный изоморфизм: соревновательный и институциональный ""миры организаций"".
Парадокс Стокдейла. Неделя 8. Энвайронментальные концепции: продолжение.
Организационная экология: базовые положения.
Основные выводы организационных экологов.
Теория ресурсной зависимости: классический подход.
Теория ресурсной зависимости: современная версия.
Итоги: реакция организации на изменения внешней среды. Неделя 9. Организационное развитие. Типы организационных изменений.
Критерии организационного развития.
Основные модели организационного развития.
Структурно-ситуационная модель.
Инновационная концепция развития организации: процесс изменений.
Инновационная концепция развития организации: методы осуществления изменений.
Инновационная модель В.С. Дудченко. Супер-цели. Неделя 10. Организационное развитие: продолжение.
Неоинституциональная теория организационного развития.
Развитие с позиций организационной экологии.
Развитие организации в теории жизненных циклов.
Поддержание жизнеспособности ""долгоживущих"" организаций.
Школа социальных систем.
Оценка эффективности организационной структуры.   По завершении курса слушатели смогут решать задачи по:   В результате успешного освоения курса слушатели получат навыки: "
